Iteration,COBYLA,SLSQP,BFGS,L-BFGS-B,trust-constr
35,0.0514886687296693,0.29056463593368065,0.6963398885778729,0.6067831312172667,0.8089392532742583
36,0.04296782303660811,0.2905646356936969,0.6963398866234869,0.6067831295262445,0.808939252644467
37,0.033460378822048574,0.29056463423519935,0.6963398875187353,0.6067831304071848,0.8089392532180751
38,0.04282649138926929,0.2905646358751965,0.6963398910395655,0.60678313274498,0.8089392523078928
39,0.040008622422789006,0.2905646351220019,0.6963398918980962,0.6067831334087324,0.8089392523958004
40,0.026723984746207317,0.2905646358751965,0.7128886969081563,0.5371364084553858,0.5422789456392454
41,0.026585347755044453,0.2905646358751965,0.7128886972768786,0.5371364083483947,0.5422789448307859
42,0.01988466439304535,0.2905646358751965,0.7128886965500734,0.5371364076303603,0.5422789462114072
43,0.0207869781243315,0.2905646358751965,0.7128886973542226,0.5371364081351323,0.54227894623072
44,0.019151900866960104,0.2905646358751965,0.7128886970491142,0.5371364091030877,0.5422789440862248
45,0.018993917603816645,0.2905646358751965,0.7128886969981332,0.5371364084255599,0.542278945983987
46,0.02219522433172848,0.29016584195303075,0.7128886955023536,0.5371364077756338,0.5422789458632817
47,0.016430511413892214,0.29970898650971006,0.7128886965842719,0.5371364084009572,0.5422789457298356
48,0.016061789182689468,0.3020164059492264,0.7128886980549313,0.5371364098801577,0.5422789449435057
49,0.01566320010623228,0.23381888585190866,0.7128886992448027,0.5371364114557006,0.5422789468205719
50,0.010146702434495914,0.23381888641836665,0.7469831481365523,0.537209120771699,0.5015632521779454
51,0.009823615465175739,0.23381888648059931,0.7469831470957924,0.5372091206501032,0.50156325291598
52,0.01176167500034676,0.20238926690975031,0.7469831473771188,0.5372091201298249,0.5015632522837267
53,0.008366473047309243,0.1917649350403859,0.7469831479474881,0.5372091205297743,0.5015632520711557
54,0.008666672685510335,0.18441215410295914,0.7469831484772284,0.5372091215052138,0.50156325211363
55,0.007664776979791543,0.15610143482498998,0.7469831463497559,0.5372091202209999,0.5015632521332607
56,0.009120455713727604,0.15610143525751918,0.7469831480420246,0.5372091201398776,0.5015632522772229
57,0.0073496066647624645,0.12925210544669427,0.7469831483976075,0.537209120613292,0.501563251675136
58,0.006356437621417676,0.12925210651618568,0.7469831482886519,0.5372091216073873,0.5015632515180244
59,0.006916594576579405,0.11850668804023323,0.7469831494571227,0.5372091237995232,0.5015632531298577
60,0.005445666713519748,0.1185066879498358,0.5776535514159896,0.8518189456488834,0.298448594542264
61,0.004436901607744903,0.11850668805224882,0.5776535507792119,0.8518189460653216,0.2984485955965651
62,0.004426910253937955,0.12449673537210464,0.5776535507751472,0.8518189452693266,0.29844859488083636
63,0.004745598919179028,0.10054239357797753,0.5776535518986174,0.8518189458198817,0.2984485950438229
64,0.004238973180761052,0.09760923463287566,0.5776535523487517,0.8518189466880655,0.2984485957598083
65,0.003744176395331045,0.07376789186183128,0.5776535502108014,0.8518189452667958,0.2984485954236834
66,0.0038446670163883034,0.0737678927197599,0.5776535503836415,0.8518189451343222,0.29844859525221606
