Iteration,ADAM_0.75,ADAM_0.9,GD_0.6,GD_0.7,GD_0.8,GD_0.9
30,0.3165996230038107,0.4026952426217586,0.9761622704336919,0.9883016738356127,0.9454249511230575,0.932906454147614
31,0.316599623036117,0.4026952426385007,0.975823787589772,0.988036340102402,0.9450788009794822,0.9324500175906664
32,0.31659962301783706,0.40269524262979395,0.9764309967193141,0.988417238951717,0.9455697613642539,0.9331869278727437
33,0.3165996230110658,0.40269524261395306,0.9763778717029516,0.9883591480357943,0.9456405756356837,0.933068489331748
34,0.3165996230366605,0.4026952426257071,0.9757134280680095,0.9879550278467075,0.9448590194659975,0.9323681267796754
35,0.31659962299823974,0.402695242607627,0.9766095604756403,0.9885733572037252,0.9460398298152259,0.9337155001409467
36,0.3165996230054223,0.40269524262235434,0.9761645777137773,0.9882102369543224,0.945209998665511,0.9325767413171329
37,0.3165996230242477,0.4026952426355431,0.9762058474885835,0.9883800828242901,0.9456079974089378,0.9331509396542608
38,0.3165996229985558,0.40269524260248496,0.976569222418229,0.9885847916247916,0.9462139359240819,0.9338845839848726
39,0.3165996230016471,0.402695242625488,0.9765004707345815,0.9884286597916201,0.9458652431229325,0.9334707702891645
40,0.18268304904259558,0.12168426099466012,0.9677707370126056,0.9842203268907346,0.9180877206197502,0.8941531382057712
41,0.18268304905777066,0.12168426099061709,0.9674018992897941,0.9839234435197699,0.9176903422048956,0.8936084128560198
42,0.18268304905307492,0.12168426100158092,0.9680707475337375,0.9843552461276733,0.9181735558625805,0.8943473419161905
43,0.1826830490453441,0.1216842609909067,0.9680191513417375,0.9842822483530507,0.9183308300897073,0.894323857556499
44,0.18268304905962257,0.12168426099067271,0.9672754182485017,0.9838245392055018,0.9174597314123721,0.8935167428821973
45,0.18268304904029883,0.12168426099646848,0.9682906718612104,0.9845439638667184,0.9187508606515855,0.8950429670401998
46,0.18268304903333493,0.1216842609898167,0.9677501765731507,0.9840981974103716,0.9178009117698741,0.8936855320753636
47,0.18268304904667768,0.12168426098885203,0.9678236565427865,0.9843145469020425,0.9183186958720245,0.8944400027725843
48,0.18268304903067215,0.12168426099676459,0.9682627882603869,0.9845739479480891,0.919040082956905,0.8953556093424954
49,0.18268304905267224,0.1216842610006205,0.9682031675579713,0.9843879406507282,0.9187160356866331,0.895001465071586
50,0.2012552642516372,0.20129135616426722,0.9565721074438377,0.978471426000042,0.879853741040001,0.8376583725201844
51,0.20125526423283321,0.20129135615600102,0.9561713510135272,0.9781409922645483,0.8793660727968511,0.8369390887064643
52,0.20125526424964862,0.2012913561567581,0.956898175810811,0.9786270548252418,0.8798451616600726,0.8376777907715575
53,0.20125526425170676,0.20129135616100252,0.9568556784610825,0.9785370365942827,0.8801105801970331,0.8377975200251511
54,0.20125526423382434,0.2012913561576764,0.9560259860461308,0.9780191750083749,0.8791619352823281,0.8368640060391159
55,0.20125526424455792,0.20129135617940824,0.9571699391292923,0.9788563693456996,0.8805475575300431,0.8385881501581729
